,Concentration (Ni)
Distance (nm),Ion Count,Al ion%,Ni ion%,Ti ion%,H2 ion%,Co ion%,Cr ion%,H ion%,O ion%,Al ion% Sigma,Ni ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,Co ion% Sigma,Cr ion% Sigma,H ion% Sigma,O ion% Sigma
-2.95000004395843,24366,2.9631453664943,25.9049495198227,0.681277189526389,0.0082081589099565,33.4851842731675,36.5345153082164,0.402199786587868,0.0205203972748912,0.108630734077481,0.280668616806174,0.0526969363377726,0.00580380661878753,0.302338478242437,0.308480954256131,0.0405465279698954,0.0091760590195875
-2.85000004246831,24189,3.16259456777874,25.2139402207615,0.830956219769317,0,34.2800446483939,36.0701145148621,0.421679275703832,0.02067055273058,0.112521205277112,0.279204059428654,0.0583671082408034,0,0.305183016974103,0.30875696732424,0.0416643461219079,0.00924319674955871
-2.75000004097819,24205,3.22247469531089,25.1353026234249,0.706465606279694,0.00826275562900227,33.6707291881843,36.8353645940921,0.404875025821111,0.0165255112580045,0.113508783864622,0.278822651208895,0.0538336037066472,0.00584240914960037,0.30375702373317,0.31003943713201,0.0408156757676922,0.00826207286948788
-2.65000003948808,24281,3.18355916148429,25.2337218401219,0.720728141345085,0,33.7136032288621,36.8477410320827,0.292409703060006,0.00823689304394382,0.112667260487493,0.278747032268209,0.054285238099536,0,0.303376200028262,0.309575508313945,0.0346518731288268,0.00582412304906885
-2.55000003799796,24026,3.15907766586198,25.1186214933822,0.782485640556064,0,33.7176392241738,36.8683925747107,0.337134770665113,0.016648630650129,0.11284150602075,0.279797661161853,0.0568449152386815,0,0.304990862055152,0.311250307284299,0.0373962212893813,0.00832362235396445
-2.45000003650784,24417,3.27640578285621,25.1873694557071,0.741286808371217,0.016382028914281,34.2302494163902,36.1797108571897,0.356309128885613,0.0122865216857108,0.113924964911116,0.277800304523383,0.0548948123119092,0.00819034350248202,0.303649085610595,0.307514627056458,0.038132231940969,0.0070931908092775
-2.35000003501773,24116,3.25924697296401,25.2653839774424,0.671753192900979,0.00829324929507381,34.1391607231713,36.2290595455299,0.410515840106154,0.0165864985901476,0.114343302008828,0.279815145409057,0.0526003479597524,0.00586396964268147,0.305342609536646,0.309518992833784,0.041173621093617,0.00829256148671309
-2.25000003352761,24310,3.13862607980255,24.8580830933772,0.835047305635541,0.0123406005758947,33.7721102426985,37.0382558617853,0.32496914849856,0.0205676676264912,0.11182853168225,0.277193136892476,0.0583636124055009,0.0071244094263082,0.303324212198221,0.309721361279596,0.0365024299481234,0.00919719462015548
-2.1500000320375,24186,3.01414041180848,25.3535102952121,0.678078227073514,0.00413462333581411,34.052757793765,36.5459356652609,0.339039113536757,0.0124038700074423,0.109939542476904,0.279731722343445,0.0527691905673963,0.00413453785937992,0.304714022202573,0.309647259512505,0.0373770836686859,0.00716093353002677
-2.05000003054738,24046,2.93603925808866,24.9979206520835,0.740247858271646,0.00831739166597355,33.8185145138485,37.2203277052316,0.266156533311154,0.0124760874989603,0.1088650589864,0.27923327703004,0.0552781820185995,0.00588103945899373,0.305087277683184,0.311729711118049,0.0332252626020737,0.00720262313113011
-1.95000002905726,24095,3.18323303589956,24.9802863664661,0.759493670886076,0.0207511931936086,33.5339282008716,37.2193401120564,0.294666943349243,0.00830047727744345,0.113095686032557,0.278883578228029,0.0559297785695234,0.00927925279132431,0.304143651656163,0.311410898292557,0.0349189710533402,0.00586908017396717
-1.85000002756715,23840,3.18372483221477,25.2307046979866,0.746644295302013,0.0125838926174497,33.5906040268456,36.866610738255,0.356543624161074,0.0125838926174497,0.113707424256876,0.281302251689244,0.0557540409295183,0.00726485664611299,0.30589370959311,0.312458996403853,0.0386035819291309,0.00726485664611299
-1.75000002607703,24143,3.23903408855569,25.2992585842687,0.753841693244419,0.00828397465103757,33.4465476535642,36.9548109182786,0.269229176158721,0.0289939112786315,0.113936333506819,0.279782622046599,0.0556674479852402,0.00585741202258799,0.303644434578727,0.310646060814054,0.0333487862260158,0.0109570796084368
-1.65000002458692,24260,3.35119538334707,25.1319043693322,0.725474031327288,0.00412201154163232,33.9323990107172,36.5993404781533,0.239076669414674,0.0164880461665293,0.115545415787628,0.278493904588576,0.0544859400708089,0.00412192658586109,0.303987799038227,0.309270231392447,0.0313547563468979,0.00824334341608154
-1.5500000230968,24168,3.0950016550811,24.7186362131744,0.748924197285667,0.00413770274743462,34.1567361800728,36.9745117510758,0.285501489572989,0.0165508109897385,0.111399483154257,0.277482523812059,0.055458253246607,0.00413761714362898,0.305051736671314,0.310519570775667,0.0343212413929913,0.0082747206431699
-1.45000002160668,24147,3.32546486105934,25.6139479024309,0.749575516627324,0.00414130119683605,33.519691887191,36.5097113513066,0.265043276597507,0.0124239035905081,0.115385340700745,0.280900443470103,0.0555063016795028,0.0041412154440702,0.303784023387754,0.309831992125257,0.0330864754827408,0.00717249848869667
