,Cylinder ID: 1
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,H ion%,P ion%,B ion%,Mn ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,H ion% Sigma,P ion% Sigma,B ion% Sigma,Mn ion% Sigma
1,148,44.5945945945946,6.081081081081082,6.756756756756757,23.64864864864865,16.89189189189189,0.6756756756756757,0,0.6756756756756757,0,0,0,0,0,0.6756756756756757,4.085886711466758,1.9644278463382396,2.063226798733351,3.49285591538782,3.0798529904168976,0.6733891186081918,0,0.6733891186081918,0,0,0,0,0,0.6733891186081918
1.1,122,50,1.639344262295082,2.459016393442623,17.21311475409836,21.311475409836063,4.098360655737705,0,3.278688524590164,0,0,0,0,0,0,4.526787302125927,1.1496506119971748,1.4021496310584685,3.417673635811159,3.707511821764157,1.7948914426949625,0,1.6122457965031596,0,0,0,0,0,0
1.2000000000000002,98,50,1.0204081632653061,7.142857142857142,14.285714285714285,23.46938775510204,1.0204081632653061,0,2.0408163265306123,0,0,0,0,1.0204081632653061,0,5.050762722761053,1.0151886499405334,2.6015405681595842,3.534797566467096,4.281100628451433,1.0151886499405334,0,1.42827390249748,0,0,0,0,1.0151886499405334,0
1.3,116,60.3448275862069,2.586206896551724,4.310344827586207,14.655172413793101,14.655172413793101,1.7241379310344827,0,1.7241379310344827,0,0,0,0,0,0,4.541935390120768,1.4737128327137476,1.8856431497381725,3.283636497193459,3.283636497193459,1.208594016067546,0,1.208594016067546,0,0,0,0,0,0
1.4000000000000001,101,56.43564356435643,2.9702970297029703,3.9603960396039604,13.861386138613863,17.82178217821782,1.9801980198019802,0,1.9801980198019802,0,0,0.9900990099009901,0,0,0,4.93380187178461,1.689240964133677,1.9405900581934508,3.4382827111450145,3.807967543196634,1.386278649080601,0,1.386278649080601,0,0,0.9851853368415734,0,0,0
1.5,88,60.22727272727273,3.4090909090909087,4.545454545454546,10.227272727272728,13.636363636363635,4.545454545454546,0,3.4090909090909087,0,0,0,0,0,0,5.21732569574462,1.9343991023836782,2.2204736839054418,3.230061506044809,3.65825024992268,2.2204736839054418,0,1.9343991023836782,0,0,0,0,0,0
1.6,91,62.637362637362635,1.098901098901099,2.197802197802198,12.087912087912088,17.582417582417584,4.395604395604396,0,0,0,0,0,0,0,0,5.071247397940529,1.0928465013161472,1.5369081467100394,3.417269635227435,3.9905112044096867,2.148956050046297,0,0,0,0,0,0,0,0
1.7000000000000002,89,56.17977528089888,4.49438202247191,7.865168539325842,2.247191011235955,12.359550561797752,8.98876404494382,1.1235955056179776,6.741573033707865,0,0,0,0,0,0,5.259352693837444,2.196111815585359,2.8534543973112036,1.571048578778939,3.4886599051207448,3.031813573466406,1.1172653397216303,2.657845068661996,0,0,0,0,0,0
1.8,94,59.57446808510638,0,9.574468085106384,8.51063829787234,10.638297872340425,6.382978723404255,1.0638297872340425,4.25531914893617,0,0,0,0,0,0,5.061672376150169,0,3.034861925770015,2.878077197872763,3.180151885863917,2.521303814512326,1.058155987913608,2.081898105489709,0,0,0,0,0,0
1.9000000000000001,107,61.6822429906542,0.9345794392523363,7.476635514018691,5.607476635514018,13.084112149532709,6.5420560747663545,0,4.672897196261682,0,0,0,0,0,0,4.699895801894597,0.9302019939262133,2.54265199840158,2.224132445237595,3.2600917712725344,2.390415264809854,0,2.0403723121389743,0,0,0,0,0,0
2,93,67.74193548387096,0,10.75268817204301,7.526881720430108,6.451612903225806,5.376344086021505,0,2.1505376344086025,0,0,0,0,0,0,4.847373443851037,0,3.212289094836828,2.7357337157597765,2.547480267357411,2.3388475538888254,0,1.5042196967050403,0,0,0,0,0,0
2.1,105,68.57142857142857,0,8.571428571428571,1.9047619047619049,8.571428571428571,4.761904761904762,0,7.6190476190476195,0,0,0,0,0,0,4.530428383840525,0,2.7319511070500426,1.3339810542038597,2.7319511070500426,2.078265621295165,0,2.5890885972875197,0,0,0,0,0,0
2.2,91,60.43956043956044,2.197802197802198,2.197802197802198,6.593406593406594,10.989010989010989,13.186813186813188,0,3.296703296703297,1.098901098901099,0,0,0,0,0,5.125904452841152,1.5369081467100394,1.5369081467100394,2.6014950241775745,3.278539503948441,3.5468439409269483,0,1.8717156642915167,1.0928465013161472,0,0,0,0,0
2.3000000000000003,110,71.81818181818181,0.9090909090909091,5.454545454545454,5.454545454545454,3.6363636363636362,8.181818181818182,0,4.545454545454546,0,0,0,0,0,0,4.289487087529189,0.9049492433184968,2.165226167776901,2.165226167776901,1.7848178494800777,2.61332193581184,0,1.9860520397847796,0,0,0,0,0,0
2.4000000000000004,92,65.21739130434783,1.0869565217391304,8.695652173913043,4.3478260869565215,5.434782608695652,9.782608695652174,0,5.434782608695652,0,0,0,0,0,0,4.965567310610093,1.0810330088561315,2.937669237792071,2.126128899660112,2.363539623718833,3.0972663905888673,0,2.363539623718833,0,0,0,0,0,0
2.5,97,71.1340206185567,0,10.309278350515463,0,7.216494845360824,5.154639175257731,0,6.185567010309279,0,0,0,0,0,0,4.600933536485718,0,3.0874648709435895,0,2.6273181942122643,2.2450256869438823,0,2.4459001290227738,0,0,0,0,0,0
2.6,100,64,1,12,3,4,9,1,6,0,0,0,0,0,0,4.8,0.99498743710662,3.249615361854384,1.7058722109231979,1.9595917942265424,2.861817604250837,0.99498743710662,2.3748684174075834,0,0,0,0,0,0
2.7,105,67.61904761904762,0,5.714285714285714,4.761904761904762,4.761904761904762,15.238095238095239,0,1.9047619047619049,0,0,0,0,0,0,4.56651285211701,0,2.2652141919202626,2.078265621295165,2.078265621295165,3.507284904750143,0,1.3339810542038597,0,0,0,0,0,0
2.8000000000000003,110,70.9090909090909,0,3.6363636363636362,3.6363636363636362,5.454545454545454,8.181818181818182,0,8.181818181818182,0,0,0,0,0,0,4.330452335553802,0,1.7848178494800777,1.7848178494800777,2.165226167776901,2.61332193581184,0,2.61332193581184,0,0,0,0,0,0
2.9000000000000004,113,74.33628318584071,0,7.079646017699115,3.5398230088495577,1.7699115044247788,7.964601769911504,0.8849557522123894,3.5398230088495577,0,0,0,0,0,0.8849557522123894,4.108856526222918,0,2.412803631283044,1.738303399159868,1.2403916156829196,2.5469490609195997,0.8810313171227336,1.738303399159868,0,0,0,0,0,0.8810313171227336
