,Concentration (Al)
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,H ion%,P ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,H ion% Sigma,P ion% Sigma
-1.650000024586916,101319,48.914813608503835,1.927575282030024,4.554920597321332,21.629704201581145,21.62378231131377,0.470790276256181,0.2181229581815849,0.5921890267373345,0.009869817112288909,0.011843780534746691,0.025661524491951162,0.020726615935806707,0.15704432429377674,0.04319502038742648,0.06550458955537121,0.1293467692840059,0.12933394761419276,0.021505204296539286,0.014656527148956797,0.024104325630526197,0.003120956188678106,0.0034188024642632722,0.0050319932377387725,0.00452244965299021
-1.5500000230967999,97478,48.93617021276596,1.9419766511417962,4.575391370360491,21.503313568189743,21.45817517798888,0.564229877510823,0.2636492336732391,0.6739982354992922,0.008206980036521061,0.02256919510043292,0.032827920146084245,0.019491577586737523,0.16010996992093587,0.04419877820616566,0.06692540578214694,0.13159065575983628,0.13149025932421926,0.023990873213413373,0.01642429317429941,0.026206411233629982,0.002901486548903355,0.004811225543623948,0.005802258621923948,0.0044712387551585015
-1.4500000216066837,94384,49.32721647736905,1.846711307001187,4.767757246991016,21.31611290049161,21.071368028479405,0.6155704356670623,0.25322088489574507,0.731056111205289,0.007416511273097135,0.00953551449398203,0.028606543481946092,0.025428038650618746,0.16273519766072686,0.04382306434375376,0.06935853066272019,0.1333053930602139,0.13274386685069722,0.025459440894744403,0.016358746109062124,0.027728914413552935,0.0028030738239778925,0.0031783532843201187,0.005504544361062849,0.005189816694320744
-1.3500000201165676,90088,49.65478199094219,1.904804191457242,4.971805345884024,20.90400497291537,20.783012165882248,0.6349347304857472,0.26085605186040317,0.7914483616019892,0.017760412041559363,0.016650386288961903,0.03552082408311873,0.024420566557144127,0.16658127426720806,0.045542363518053505,0.07241855002605864,0.13547480176752177,0.13518544516895173,0.02646353946083549,0.016994163954036433,0.02952244853101844,0.004439708702586534,0.004298753329456392,0.006278138575210374,0.0052058465187405645
-1.2500000186264515,85600,50.38901869158878,1.9252336448598129,5.126168224299065,20.29088785046729,20.376168224299064,0.669392523364486,0.272196261682243,0.8551401869158879,0.011682242990654207,0.011682242990654207,0.040887850467289724,0.03154205607476635,0.17089130913553216,0.046965989869519886,0.07537594420342052,0.13745724293948425,0.13767209243042045,0.02787052130444793,0.017807884215314783,0.03147145902381611,0.0036940338110902737,0.0036940338110902737,0.0069098950706941945,0.0060693141021264645
-1.1500000171363354,81389,50.63092064038138,1.8884615857179716,5.220607207362174,20.210347835702613,19.98795906080674,0.8023197237955989,0.25679145830517636,0.9215004484635516,0.012286672646180687,0.017201341704652963,0.034402683409305926,0.017201341704652963,0.17524779819455572,0.04771240014874754,0.077971271077406,0.14075937302756517,0.1401777367053067,0.03127099040766723,0.017739815463834272,0.033493044749822745,0.0038851483429561346,0.004596856535032602,0.0065003776116972205,0.004596856535032602
-1.0500000156462193,75988,51.26730536400485,1.7581723430015268,5.469284623887982,19.42280360056851,19.646523135231877,0.9475180291624993,0.2658314470705901,1.133073643206822,0.013159972627256936,0.03026793704269095,0.031583934305416644,0.014475969889982628,0.18132511084935182,0.047676726800041105,0.08248580699221776,0.14351243345059417,0.1441360717072035,0.03514422051300813,0.01867895846537079,0.03839565476296017,0.0041612749064127985,0.006310345934555703,0.0064460253977452085,0.004364353220066492
-0.9500000141561031,70859,52.39136877460873,1.7598329076052441,5.853878829788735,18.634189023271567,18.71745296998264,1.1388814406074035,0.2441468267968783,1.1713402672913815,0.021168800011290026,0.01552378667494602,0.03810384002032205,0.014112533340860017,0.18761830611467464,0.04939497317665945,0.0881912647145252,0.14627790020950285,0.14652931446143783,0.03986157994372727,0.018539466228846366,0.04041899213534249,0.005465182111603581,0.0046802344761923825,0.007331690203900195,0.004462459974810018
-0.850000012665987,65486,53.12738600616925,1.8461961335247228,6.115811013040955,17.674006657911615,18.20999908377363,1.36823137769905,0.1862993616956296,1.388082949027273,0.015270439483248329,0.01679748343157316,0.02748679106984699,0.024432703173197325,0.1950044756270728,0.0526039376270591,0.09363733093336724,0.149060222459878,0.1508102419200665,0.04539561994867076,0.01685103304863349,0.045719153285526316,0.004828568249857959,0.005064206431767166,0.006477808331788973,0.006107429551484348
-0.7500000111758709,60464,54.235578195289754,1.7729558084149246,6.388925641704154,16.7703096057158,17.248279968245566,1.7150701243715267,0.2480815030431331,1.529835935432654,0.01653876686954221,0.02315427361735909,0.02646202699126753,0.02480815030431331,0.20260851331511814,0.053668079683429376,0.09945556622899222,0.1519361937712868,0.15364306913277054,0.05280024888681186,0.020230628891166925,0.049914453735859024,0.005229584791760782,0.006187523460078269,0.006614631391313175,0.0064046422807683195
-0.6500000096857548,54793,55.30268464949902,1.6918219480590586,6.95161790739693,15.600532914788385,16.107896994141587,2.08055773547716,0.2628072929023781,1.8962276203164639,0.01825050645155403,0.03467596225795266,0.025550709032175645,0.02737575967733105,0.21239842257245095,0.05509467320666915,0.10865127324183091,0.1550161796573767,0.15704258049462452,0.060976404421497356,0.021871810612010403,0.058267387753363487,0.005770790212539564,0.00795383193644732,0.006827841779498051,0.0070674231756138895
-0.5500000081956387,49940,56.74809771726071,1.6139367240688829,7.360832999599519,14.233079695634762,15.12615138165799,2.472967561073288,0.2523027633159792,2.0865038045654782,0.024028834601521824,0.030036043251902282,0.032038446135362435,0.020024028834601523,0.22169402660804022,0.05638788101092009,0.11685210330625499,0.1563453897494224,0.1603344698483928,0.06949402171301342,0.02244854377204462,0.06395972688025449,0.006935693629374221,0.007754108243989852,0.008008328353516154,0.0063315198971208185
-0.45000000670552254,45303,58.3382998918394,1.4568571617773658,8.156192746617222,12.851246054345186,13.358938701631237,3.1212061011412047,0.2074917775864733,2.36408184888418,0.019866234024236807,0.04856190539257886,0.041939827384499924,0.03531774937642099,0.23162311470396169,0.056293494641646145,0.12858940841530384,0.15723156212375636,0.15983959818748264,0.08169812776475747,0.021378928447664182,0.07137934862300649,0.006621420196649546,0.010350918799842783,0.009619638413208087,0.008827878027137906
-0.3500000052154064,40711,60.013264228341235,1.385374960084498,8.459630075409594,11.296701137284764,12.023777357470953,3.5567782663162286,0.2554592124978507,2.8591781091105597,0.034388740143941436,0.05158311021591216,0.04421409447078185,0.019650708653680824,0.2427871605999794,0.05792932200429247,0.13791964565932785,0.15688803381148891,0.16119339167111163,0.09179274673908826,0.02501782020209087,0.08259725353755186,0.009189196966510655,0.011253453918998138,0.010419057897968943,0.006946892014702389
-0.2500000037252903,36639,61.420890308141594,1.4165233767297143,8.578290892218673,9.508993149376348,10.96645650809247,4.473375365048173,0.25109855618330196,3.185130598542537,0.03548131772155354,0.08187996397281586,0.049127978383689506,0.03275198558912634,0.2543093619552442,0.061736518115660444,0.14630300509630234,0.15324918429575862,0.1632443592572726,0.10799610220938796,0.026145946160976107,0.09174086870060645,0.009839000983004878,0.014943046318638251,0.011576730798574594,0.009453135423047312
-0.15000000223517418,33810,63.025732031943214,1.2215320910973084,9.204377403135167,8.18692694469092,9.544513457556935,4.957113280094647,0.21591245193729666,3.475303164744158,0.023661638568470866,0.06506950606329488,0.041407867494824016,0.03845016267376516,0.26253436304325445,0.05973941947313344,0.15721974186659568,0.14910428827025496,0.15979815801431524,0.11804610060238749,0.025243345096482423,0.09960771687372752,0.008364662759087926,0.013868351068667198,0.01106442660839193,0.010662106000161377
-0.05000000074505806,31158,64.02849990371654,1.1040503241543103,9.660440336350215,6.653186982476411,8.286796328390784,5.86366262276141,0.21824250593747993,3.9829257333590085,0.041722832017459396,0.08344566403491879,0.04493228063418705,0.03209448616727646,0.2718824355257212,0.059196891355194306,0.1673603824012657,0.14118216116957993,0.15617966181889953,0.13310009000710796,0.026436895716234365,0.11078744635008783,0.011569417253803446,0.01635821174094618,0.012005958939367619,0.010147538869831815
0.05000000074505806,28130,65.9971560611447,0.8887308922858158,10.05332385353715,5.517241379310345,6.587273373622467,6.320654105936723,0.17774617845716317,4.276573053679346,0.03199431212228937,0.07820831852115179,0.049768929968005686,0.02132954141485958,0.2824459590777289,0.05595794934506649,0.1792926680581117,0.13612954996004176,0.1479009630666901,0.1450835157046229,0.025114755565089863,0.12063468668616467,0.010663064510933785,0.0166675480036275,0.013297995661124464,0.008706820108024175
0.15000000223517418,25723,66.18201609454573,0.8513781440733973,10.138786300198266,4.649535435213622,5.819694436885277,7.157019010224312,0.2254791431792559,4.74672472106675,0.046650857209501226,0.09330171441900245,0.05053842864362633,0.03887571434125102,0.2949735290708966,0.057285377674592325,0.18819943523321833,0.1312820587850174,0.1459719232231581,0.16072366038868116,0.029573464489067273,0.13257943782159648,0.013463800895424602,0.01903624591342351,0.014013295750271755,0.012291190457573486
